,Rnd,Pick,Tm,Player,Pos,Age,Yrs,Yrs_Starter,wAV,dAV,Games,College,Drafted,wAVpG,dAVpG,Cap,AV_percentile,fit_wAVpG
260,1,7,TAM,Mark Barron,DB,22,8,7,58,11,119,Alabama,2012,0.48739495798319327,0.09243697478991597,2.256907518223489,97.2,0.3823101819108067
263,1,10,BUF,Stephon Gilmore,DB,21,12,10,71,19,165,South Carolina,2012,0.4303030303030303,0.11515151515151516,1.827204066743292,95.7,0.37001498821535544
270,1,17,CIN,Dre Kirkpatrick,DB,22,10,5,31,25,119,Alabama,2012,0.2605042016806723,0.21008403361344538,1.28415298899627,77.4,0.34298862069365404
282,1,29,MIN,Harrison Smith,DB,23,12,10,68,68,176,Notre Dame,2012,0.38636363636363635,0.38636363636363635,1.1120215754974585,93.5,0.3018122151160495
292,2,39,STL,Jackrabbit Jenkins,DB,23,11,10,51,22,144,North Alabama,2012,0.3541666666666667,0.1527777777777778,0.7623347344922546,92.2,0.27214120986706286
301,2,48,NWE,Tavon Wilson,DB,22,10,2,19,5,133,Illinois,2012,0.14285714285714285,0.03759398496240601,0.6428523569694944,48.7,0.24877091553396274
315,2,62,GNB,Casey Hayward,DB,22,11,7,49,7,152,Vanderbilt,2012,0.3223684210526316,0.046052631578947366,0.5058181258460449,89.3,0.2181431894502863
318,3,65,STL,Trumaine Johnson,DB,22,8,5,30,24,102,Montana,2012,0.29411764705882354,0.23529411764705882,0.466380538987196,84.5,0.21241823790431272
319,3,66,MIN,Josh Robinson,DB,21,8,1,10,9,93,Central Florida,2012,0.10752688172043011,0.0967741935483871,0.4651934880077536,38.0,0.21057192136989403
326,3,73,SDG,Brandon Taylor,DB,22,1,0,1,1,4,LSU,2012,0.25,0.25,0.4568841311516566,74.6,0.19848375760925904
332,3,79,CHI,Brandon Hardin,DB,22,0,0,0,0,0,Oregon St.,2012,0.0,0.0,0.449761825275002,7.9,0.18923032416099989
333,3,80,ARI,Jamell Fleming,DB,23,4,0,5,2,46,Oklahoma,2012,0.10869565217391304,0.043478260869565216,0.4485747742955596,38.6,0.1877824235868555
338,3,85,DET,Bill Bentley,DB,23,4,0,3,3,20,Louisiana,2012,0.15,0.15,0.4426395193983474,50.8,0.18092855164248722
347,3,94,NYG,Jayron Hosley,DB,21,4,0,8,8,43,Virginia Tech,2012,0.18604651162790697,0.18604651162790697,0.4319560605833656,60.3,0.1701131818839412
354,4,101,DEN,Omar Bolden,DB,23,4,0,5,5,56,Arizona St.,2012,0.08928571428571429,0.08928571428571429,0.4236467037272686,32.4,0.1629317427670296
368,4,115,TEN,Coty Sensabaugh,DB,23,8,2,19,12,107,Clemson,2012,0.17757009345794392,0.11214953271028037,0.4070279900150746,57.9,0.15134139941129537
376,4,123,PHI,Brandon Boykin,DB,22,4,0,9,7,64,Georgia,2012,0.140625,0.109375,0.3975315821795352,47.5,0.14611330755403945
377,4,124,BUF,Ron Brooks,DB,23,5,0,6,4,53,LSU,2012,0.11320754716981132,0.07547169811320754,0.3963445312000928,39.1,0.14552039050395332
383,4,130,BAL,Christian Thompson,DB,22,1,0,0,0,7,South Carolina St.,2012,0.0,0.0,0.3892222253234382,7.9,0.14221297883664458
386,4,133,GNB,Jerron McMillian,DB,23,2,0,2,2,28,Maine,2012,0.07142857142857142,0.07142857142857142,0.3856610723851109,23.5,0.14070603838871426
388,4,135,DAL,Matt Johnson,DB,23,0,0,0,0,0,Eastern Washington,2012,0.0,0.0,0.383286970426226,7.9,0.13975006235124565
392,5,139,MIN,Robert Blanton,DB,23,6,1,9,9,72,Notre Dame,2012,0.125,0.125,0.3785387665084563,43.4,0.1379436667717157
396,5,143,CAR,Josh Norman,DB,24,12,8,43,22,141,Coastal Carolina,2012,0.3049645390070922,0.15602836879432624,0.3737905625906866,85.8,0.13626141210257153
399,5,146,KAN,DeQuan Menzie,DB,22,0,0,0,0,0,Alabama,2012,0.0,0.0,0.3702294096523594,7.9,0.13506920466600902
401,5,148,DET,Chris Greenwood,DB,23,2,0,0,0,3,Albion,2012,0.0,0.0,0.3678553076934745,7.9,0.1343028180656144
409,5,156,CIN,Shaun Prater,DB,22,4,0,2,0,21,Iowa,2012,0.09523809523809523,0.0,0.3583588998579351,34.5,0.13141066500120097
415,5,162,NOR,Corey White,DB,22,5,1,12,10,66,Samford,2012,0.18181818181818182,0.15151515151515152,0.3512365939812805,59.0,0.1293538886562524
420,5,167,CIN,George Iloka,DB,22,9,4,29,27,103,Boise St.,2012,0.2815533980582524,0.2621359223300971,0.3453013390840684,81.8,0.12765925039522158
422,5,169,BAL,Asa Jackson,DB,22,6,0,3,2,26,Cal Poly-San Luis Obispo,2012,0.11538461538461539,0.07692307692307693,0.3429272371251836,40.0,0.12697687664948237
425,6,172,SEA,Jeremy Lane,DB,22,6,1,10,10,70,Northwestern St. (LA),2012,0.14285714285714285,0.14285714285714285,0.3393660841868562,48.7,0.12594069308585132
427,6,174,TAM,Keith Tandy,DB,23,7,0,8,8,90,West Virginia,2012,0.08888888888888889,0.08888888888888889,0.3421027801323675,32.3,0.12523785725973546
429,6,176,JAX,Mike Harris,DB,23,3,0,6,5,36,Florida St.,2012,0.16666666666666666,0.1388888888888889,0.3416468661235675,54.9,0.12452247881705253
430,6,177,ARI,Justin Bethel,DB,22,12,0,20,16,193,Presbyterian,2012,0.10362694300518134,0.08290155440414508,0.3414189091191674,36.8,0.12415930793870988
433,6,180,SFO,Trent Robinson,DB,22,4,1,6,0,38,Michigan St.,2012,0.15789473684210525,0.0,0.3407350381059673,52.9,0.1230441334318913
434,6,181,SEA,Winston Guy,DB,22,5,0,3,0,37,Kentucky,2012,0.08108108108108109,0.0,0.3405070811015673,28.3,0.12266281707130328
437,6,184,CHI,Isaiah Frey,DB,22,3,0,3,3,27,Nevada,2012,0.1111111111111111,0.1111111111111111,0.3398232100883672,38.9,0.12148573563017828
440,6,187,NYJ,Josh Bush,DB,23,4,0,3,2,45,Wake Forest,2012,0.06666666666666667,0.044444444444444446,0.3391393390751671,21.8,0.12025241897338673
443,6,190,TEN,Markelle Martin,DB,22,0,0,0,0,0,Oklahoma St.,2012,0.0,0.0,0.3384554680619669,7.9,0.1189544628024114
445,6,192,ATL,Charles Mitchell,DB,22,1,0,1,1,10,Mississippi St.,2012,0.1,0.1,0.3379995540531669,35.4,0.11804909757634197
449,6,196,DET,Jonte Green,DB,23,2,0,4,4,24,New Mexico St.,2012,0.16666666666666666,0.16666666666666666,0.3370877260355668,54.9,0.11613101472384052
450,6,197,NWE,Nate Ebner,DB,23,10,0,11,11,133,Ohio St.,2012,0.08270676691729323,0.08270676691729323,0.3368597690311667,28.7,0.11562731318379948
466,7,213,WAS,Richard Crawford,DB,22,1,0,1,1,10,SMU,2012,0.1,0.1,0.3332124569607662,35.4,0.105956322218619
469,7,216,CAR,D.J. Campbell,DB,23,2,0,2,2,9,California,2012,0.2222222222222222,0.2222222222222222,0.332528585947566,68.5,0.10374611019794011
470,7,217,WAS,Jordan Bernstine,DB,23,1,0,0,0,1,Iowa,2012,0.0,0.0,0.332300628943166,7.9,0.10297736987001938
473,7,220,CHI,Greg McCoy,DB,23,0,0,0,0,0,TCU,2012,0.0,0.0,0.3316167579299659,7.9,0.10057078213875836
477,7,224,NWE,Alfonzo Dennard,DB,22,3,1,9,9,29,Nebraska,2012,0.3103448275862069,0.3103448275862069,0.3307049299123658,86.5,0.09711618866113514
495,7,242,NYJ,Antonio Allen,DB,23,5,2,9,9,50,South Carolina,2012,0.18,0.18,0.3266017038331651,58.5,0.07758046859729945
